"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/28/2023","AQS","010730023","4","18","ug/m3 SC","17","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/29/2023","AQS","010730023","4","19","ug/m3 SC","18","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/30/2023","AQS","010730023","4","12","ug/m3 SC","11","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/31/2023","AQS","010730023","4","11","ug/m3 SC","10","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/01/2023","AQS","010730023","4","12","ug/m3 SC","11","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/02/2023","AQS","010730023","4","7","ug/m3 SC","6","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/03/2023","AQS","010730023","4","17","ug/m3 SC","16","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/04/2023","AQS","010730023","4","18","ug/m3 SC","17","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/05/2023","AQS","010730023","4","16","ug/m3 SC","15","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/06/2023","AQS","010730023","4","36","ug/m3 SC","33","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/07/2023","AQS","010730023","4","38","ug/m3 SC","35","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/08/2023","AQS","010730023","4","31","ug/m3 SC","29","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/09/2023","AQS","010730023","4","15","ug/m3 SC","14","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/10/2023","AQS","010730023","4","12","ug/m3 SC","11","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/11/2023","AQS","010730023","4","14","ug/m3 SC","13","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/12/2023","AQS","010730023","4","10","ug/m3 SC","9","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/13/2023","AQS","010730023","4","24","ug/m3 SC","22","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/14/2023","AQS","010730023","4","38","ug/m3 SC","35","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/15/2023","AQS","010730023","4","15","ug/m3 SC","14","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/16/2023","AQS","010730023","4","22","ug/m3 SC","20","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/17/2023","AQS","010730023","4","9","ug/m3 SC","8","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"02/18/2023","AQS","010730023","4","11","ug/m3 SC","10","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
