"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2025","AQS","010730023","4","6","ug/m3 SC","6","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/02/2025","AQS","010730023","4","20","ug/m3 SC","19","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/03/2025","AQS","010730023","4","24","ug/m3 SC","22","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/04/2025","AQS","010730023","4","15","ug/m3 SC","14","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/05/2025","AQS","010730023","4","14","ug/m3 SC","13","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/06/2025","AQS","010730023","4","10","ug/m3 SC","9","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/07/2025","AQS","010730023","4","12","ug/m3 SC","11","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/08/2025","AQS","010730023","4","16","ug/m3 SC","15","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/09/2025","AQS","010730023","4","20","ug/m3 SC","19","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/10/2025","AQS","010730023","4","11","ug/m3 SC","10","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/11/2025","AQS","010730023","4","12","ug/m3 SC","11","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/12/2025","AQS","010730023","4","24","ug/m3 SC","22","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/13/2025","AQS","010730023","4","18","ug/m3 SC","17","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/14/2025","AQS","010730023","4","15","ug/m3 SC","14","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/15/2025","AQS","010730023","4","43","ug/m3 SC","40","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/16/2025","AQS","010730023","4","34","ug/m3 SC","31","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/17/2025","AQS","010730023","4","32","ug/m3 SC","30","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/18/2025","AQS","010730023","4","56","ug/m3 SC","51","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/19/2025","AQS","010730023","4","14","ug/m3 SC","13","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/22/2025","AQS","010730023","4","19","ug/m3 SC","18","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/23/2025","AQS","010730023","4","41","ug/m3 SC","38","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/24/2025","AQS","010730023","4","34","ug/m3 SC","31","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/25/2025","AQS","010730023","4","32","ug/m3 SC","30","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/26/2025","AQS","010730023","4","39","ug/m3 SC","36","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/27/2025","AQS","010730023","4","16","ug/m3 SC","15","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"01/28/2025","AQS","010730023","4","25","ug/m3 SC","23","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
